Date,Bouquets Sold,Packaging Cost,Flower Market Price,Purchase Amount,Flowers Received,Supplier Fee,Delivery Fee
2025-06-10,0,19.78,109099.98,21.819996,0.0002,0.0000002 btc,
2025-06-15,0,0,105512.66,250.0650042,0.00237,0.00028906 bnb,
2025-06-16,0,0,106685.3,252.844161,0.00237,0.00028963 bnb,0.00003
2025-06-21,0,14.02,103560,99.4176,0.00096,0.00011706 bnb,
2025-06-22,0,0,102724,180.79424,0.00176,0.00021466 bnb,0.00003
2025-07-04,0,15.94,107797,401.00484,0.00372,0.00045955 bnb,0.00003
2025-07-05,0,18.81,110631.26,99.57,0.0009,0.00011142 BNB,
2025-07-11,0,0,117790.84,303.9003816,0.00258,0.00033075 bnb,
2025-07-19,0,6.2,117986.34,122.7057936,0.00104,0.00012531 bnb,
2025-07-21,0,5.95,117896.35,106.106715,0.0009,0.00010344 bnb,
2025-07-24,0,0,117659.01,98.8335684,0.00084,0.0000968 bnb,
2025-07-25,0,3.93,116184.95,273.03,0.00235,0.00026482 bnb,0.00003
2025-07-28,0,5.42,117789.97,200.24,0.0017,0.00018029 bnb,
2025-08-18,0,12.68,114977.8,487.505872,0.00424,0.00043983 bnb,
2025-08-19,0,13.15,113338.46,488.4887626,0.00431,0.00044045 bnb,
2025-08-25,0,16.47,113640,486.3792,0.00428,0.00041574 bnb,
2025-09-09,1,0,112762.35,499.5372105,0.00443,0.00042486 bnb,
2025-12-02,0,13.62,91896.77,483.3770102,0.00526,0.0004117 bnb,
2026-01-12,0,25.13,67650.19,499.2584022,0.00738,0.00083 bnb,
